index,Name,CAP,,Name,CAP,,Name,CAP,,Name,CAP,,Name,CAP
1,thesinglewing,0.691579,,DebHeacox,0.792031,,sandymc50,0.577886,,2022freedom22,0.789229,,,
2,wazuberance,0.766876,,mikebro_usa,0.747083,,jmsousa1124,0.789229,,ClarkBernard5,0.800879,,,
3,2B7C89526,0.789229,,Doc__Flynn,0.754621,,rider_stealth,0.796994,,hartfordwolf,0.600488,,,
4,7solarray,0.775988,,Hendrix27x,0,,Jeano0000,0.859506,,MJ72804966,0.278725,,,
5,Jamie97743500,0.819914,,PoliPosse,0.705337,,AngieB70689736,0.796929,,miocic46,0.810078,,,
6,LeaverJoan,0.7874,,TheCons99533818,0.810078,,lectric54,0.789229,,DjkLarson,0.600488,,,
7,TruJustice3,0.7874,,Caladonia11,0.907797,,AAFMIMI,0.528866,,dan_377,0.795255,,,
8,tracy32hunt1,0.226318,,Tommy02049825,0.819914,,KathleenWinche3,0.859506,,twidjot,0.362645,,,
9,Kjole9,0.796724,,KErazorlife,0.577886,,GPatrickRep1,0.805478,,NinjaNghost491,0.796622,,,
10,mttacv,0.782635,,argoguide,0.577886,,jan_cam001,0.447946,,peterAdamsTx,0.766876,,,
11,LaFlorTruth,0.600488,,Kirsten11948652,0.785221,,txwbo864,0.782635,,UltraMagaMindTX,0.7874,,,
12,Kirsten11948652,0.785221,,Alex78197457,0.805478,,ThomasS40326864,0.779581,,LeticiaBeam,0.600488,,,
13,BrotherGrim48,0.226318,,LandOLakesCalri,0.252041,,Melissa03295697,0.810078,,_NavyBrat,0.845754,,,
14,spettis52,0.419722,,terry_burritt,0.790758,,CISSYDOG,0.7874,,dw2025rmeat,0.810078,,,
15,mike_galde,0.528866,,starryvonne,0.766876,,Sharon575816396,0.79641,,DF52493951,0.816204,,,
16,DJDemmerneck222,0.795255,,qwertyeusk,0.796622,,TrumpsterSteve,0.852404,,clantro,0.676361,,,
17,klark77,0.824091,,ReeveTanner,0.252041,,ellen83378675,0.782635,,AmericaMama1,0.779581,,,
18,kmemjb,0.807603,,mindiluhu,0.782635,,ertel_michael,0.812935,,137pft,0.7874,,,
19,GoldnemovesGold,0.799836,,DanielleNorgedm,0.797103,,Nidaki,0.810078,,thesinglewing,0.717691,,,
20,TrentEisenbache,0.72871,,gdrazman,0.553972,,Christo80540054,0.839586,,Caladonia11,0.907797,,,
21,ozfest22,0.775988,,Sniper983241337,0.907797,,parg1809,0.907797,,Joedelfino6,0.798989,,,
22,AnnoyedinMN,0.475676,,Monty4G63,0.793087,,ChristaTrump,0.796724,,HeidiFtoad,0.528866,,,
23,TodellinenDave,0.252041,,csmnwild,0.226318,,rarodz09,0.72871,,salpie,0.600488,,,
24,Yomisma1122,0.705337,,sangrerayada,0.797782,,harrysherlock9,0.797053,,allthewayjumper,0.676361,,,
25,RachAeL1942,0.797075,,Brian_Kennedy,0.475676,,davidetn23,0.793957,,dunquetusei,0.782635,,,
26,LaurieGiwoyna,0.807603,,mnrube17,0.577886,,AlbertaCanada60,0.794672,,JJ7854,0.771781,,,
27,Nosreyam,0.800879,,trastan,0.717691,,gdcox1,0.793087,,SrvG_d,0.882963,,,
28,DavidKnight2345,0.785221,,AeDanoff,0.738478,,3_kitteh,0.797161,,zelda92100120,0.33423,,,
29,JayJdmoore,0.795255,,drscottjensen,0.600488,,patriotpromise2,0.874857,,lregino43,0.391215,,,
30,bjsgarda317,0.798312,,insanecreepy2,0.738478,,Antonia_dlV,0.717691,,LukeStPaul1,0.278725,,,
31,tamindave,0.621687,,wakoppa,0.691579,,America1Eagle1,0.824091,,TrumpGal12,0.771781,,,
32,StatesPoll,0.775988,,SurfsBri,0.79679,,SherryH886,0.816204,,maarc80,0.805478,,,
33,ITrust45,0.874857,,michaeljames86,0.828754,,gibsonart,0.874857,,Matthew_25_13,0.80367,,,
34,Patricia818,0.797376,,MichaelTowery,0.621687,,Winglle20,0.754621,,Caladonia11,0.907797,,,
35,Jeff81ryan,0.797075,,ElSupremo9138,0.796636,,frankieknowskc,0.528866,,bkru,0.475676,,,
36,windshawdow,0.859506,,cogitarus,0.793087,,DaveBoulder,0.577886,,JoeyMac8,0.747083,,,
37,GwasiraT,0.80367,,BonfireDesigns2,0.845754,,JtCarter19,0.7874,,SLJNorth,0.502712,,,
38,shannonwmbc,0.659646,,Ryan_Ferrin9,0.766876,,DJJohnBee1,0.771781,,poopy_president,0.447946,,,
39,walterm3607,0.553972,,WestinEhrlich,0.691579,,BirdieMarie4,0.797103,,PKY92941436,0.761187,,,
40,dvan713,0.600488,,slashapu81,0.754621,,WearWarriorgear,0.793957,,TomeckoTony,0.641418,,,
41,chief77717,0.278725,,Batgirl9343,0.641418,,chewie1238,0.747083,,TheRightAva,0.747083,,,
42,EFxScout1League,0.915837,,Queen__MAGA,0.761187,,Luke11_13,0.747083,,Am_Free_USA,0.796828,,,
43,RyanSchuiling,0.553972,,RandeeM5,0.80367,,homesteadlady,0.80367,,lvgopher,0.7874,,,
44,demscheat,0.874857,,ant3tweet,0.754621,,SierraDante,0.779581,,Kydwyn,0.859506,,,
45,DrLanley,0.306188,,dachisholm,0.766876,,piper_curt,0.528866,,MrQuestion95,0.72871,,,
46,JWilcox111,0.816204,,MagaPatriot111,0.691579,,GoldnemovesGold,0.800879,,navyguns81,0.779581,,,
47,Theresa73037404,0.738478,,bucktail81,0.779581,,CecyHanna,0.797782,,JamesSMcGowan,0.828754,,,
48,christiancnserv,0.798312,,FarmGirlJane_oh,0.7874,,EstergrenSue,0.797376,,Brandyjb6,0.923535,,,
49,Willowinski,0.475676,,Ruby264600332,0.796666,,Imogene08,0.819914,,Thomasmark0,0.641418,,,
50,denise_snively,0.852404,,Juliett67759055,0.717691,,DjkLarson,0.600488,,PattiMc21477432,0.33423,,,
51,AfJo77,0.226318,,ErikMohlin1,0.797376,,jc84xjpngh,0.796599,,Danielle43831,0.553972,,,
52,WituckiJase,0.79672,,DaveHagen1,0.447946,,AccordingtoGC,0.867011,,GiJane_007,0.785221,,,
53,radiologictechy,0.795255,,mothmansredcock,0.775988,,ROMULUS7078,0.805478,,lucky88duck,0.824091,,,
54,goodwones,0.553972,,MyOwnViewpoints,0.419722,,ArmenianBedros,0.754621,,badzachtakes,0.252041,,,
55,BartemyS,0.659646,,JoeyMac8,0.761187,,fred7722,0.796636,,piggylou73,0.621687,,,
56,DeBronJames,0,,poochiethoughts,0.306188,,JamesSMcGowan,0.828754,,goodbyegirl1012,0.475676,,,
57,scoutdrayton,0.839586,,VikingsTweetGuy,0.252041,,DaveHagen1,0.447946,,Jeff58028493,0.795728,,,
58,southernlady011,0.79641,,twald1,0.475676,,RandyCarranco,0.867011,,EttelMark,0.475676,,,
59,UltraMagaLisa,0.7874,,Kraemer151,0.797376,,FishermanWords,0.915837,,FishermanWords,0.915837,,,
60,NaniLoa1979,0.796862,,hallbanero,0.577886,,MplsInfo,0.502712,,PamelaGolightl6,0.802148,,,
61,hockeystudd1,0.717691,,ammurphy612,0.528866,,Christi26702974,0.785221,,YankeePatriotic,0.807603,,,
62,TaffeAllison,0.775988,,thesinglewing,0.717691,,AngCooperman,0.226318,,ChristiJ1989,0.577886,,,
63,Blt555blt,0.447946,,dbuchar,0.278725,,PatriotTomV,0.676361,,kdoz93,0.600488,,,
64,Steph93065In21,0.828754,,AlanLipinski3,0.502712,,northcastle714,0.807603,,pjanehayes,0.795728,,,
65,DonahuePatric,0.766876,,Tonytone3005,0.796599,,Caladonia11,0.907797,,Pfft2Primal,0.641418,,,
66,LanitaScarlet,0.278725,,MrUser2077,0.796929,,No_to_socialism,0.528866,,aaloron70,0.738478,,,
67,pastrygirl1,0.79672,,Ryan9900,0.766876,,PoliPosse,0.705337,,frogpondRN,0.754621,,,
68,BobPSU,0.252041,,FlaGirlKristy,0.226318,,BunchosDaisy,0.600488,,Allen17Jenn,0.600488,,,
69,terriUKfan,0.659646,,Sundevil891,0.819914,,maverick0732,0.419722,,BBBudget,0.795255,,,
70,BobbyMarkowe,0.691579,,DKTNews,0.419722,,GraceBDorn1,0.252041,,ethanpaynetomm2,0.553972,,,
71,tonyprito1972,0.621687,,space_case12,0.306188,,InSammyT,0.691579,,Kirsten11948652,0.785221,,,
72,suelarocca,0.775988,,annbauerwriter,0.676361,,taconitequeen,0.796994,,paul__carlson,0.33423,,,
73,GREYCOASTING,0.600488,,Hacha17Q,0.761187,,pattyisright,0.676361,,8288Neb,0.33423,,,
74,bbusskohl21,0.391215,,Smartcot,0.362645,,drscottjensen,0.641418,,KKelley3955,0.306188,,,
75,DAR4444jesus,0.794672,,jc84xjpngh,0.796862,,Christi43919339,0.475676,,scottmn55342,0.419722,,,
76,DanielA04738314,0.80367,,kostpmp,0.761187,,MagaPatriot111,0.691579,,PoliGrrl,0.33423,,,
77,BeckyBeck73,0.72871,,ColtCollins54,0.306188,,NinjaNghost491,0.796622,,MIwolverine10,0.659646,,,
78,Melissa03295697,0.819914,,LawrenceSYorkJr,0.362645,,rewe1985,0.659646,,Gerrit_Vanthul,0.796622,,,
79,GodAlwaysWins22,0.785221,,camueller58,0.796862,,Tigersharke,0.782635,,consrvgrl,0.306188,,,
80,dave_husske,0.796636,,,,,NaniLoa1979,0.796862,,RepMaryFranson,0.252041,,,
81,moblguy,0.819914,,,,,taconitequeen,0.796994,,Holly_Love2,0.766876,,,
82,Dickens3515,0.891231,,,,,Unionpuke,0.475676,,reddoginthehou1,0.795728,,,
83,bgrayfromfl,0.790758,,,,,SenatorNewmanMN,0.621687,,bscp103,0.577886,,,
84,hartzell_jacob,0.528866,,,,,Ander1999K,0.766876,,jkes22,0.362645,,,
85,realGStruxness,0.362645,,,,,habe3693,0.553972,,parrish4mn,0.621687,,,
86,ecojarvis,0.790758,,,,,puntandshowers,0.797782,,phillipcparrish,0.72871,,,
87,DonaldS95157957,0.882963,,,,,MouktarAlbert,0.600488,,PatrickHolm49er,0.528866,,,
88,jbray1010,0.790758,,,,,damob99,0.7874,,StPauliGirlOG,0.796862,,,
89,abqbodywork,0.807603,,,,,MNhomes,0.766876,,Scott_Elleraas,0.391215,,,
90,BisbeeBrian,0.528866,,,,,SherryBossMama,0.828754,,LinksBrad,0.553972,,,
91,JonnyBean17,0.600488,,,,,john19187295,0.798312,,sgtkango,0.796828,,,
92,GOPearetraitors,0.79672,,,,,JrnNelsen,0.782635,,Lauriekitty52,0.676361,,,
93,Mrs_Right_Again,0.810078,,,,,TikiTiQue,0.807603,,,,,,
94,addswen,0.795255,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,Average =,0.68586933,,Average =,0.652316152,,Average =,0.732723591,,Average =,0.653935359,,,
98,StDev = ,0.19,,StDev = ,0.2,,StDev = ,0.14,,StDev = ,0.19,,,
99,,,,,,,,,,,,,,
100,*might need to remove non-english,,,,,,,,,,,,,
101,*score of 0 should be varified,,,,,,,,,,,,,
102,*This is a CAP score or Complete Automated Probability Score,,,,,,,,,,,,,
103,*Tests should be set to 95% conf.,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,
